"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Jul 21 12:54:09 IST 2024","Sun Jul 21 12:54:09 IST 2024","2","","","","","","hook:",""
"passed","Sun Jul 21 12:39:47 IST 2024","Sun Jul 21 12:39:49 IST 2024","1841","","Login to SauceLabs mobile application: Locked username and password","","","","Then I click the login button",""
"failed","Sun Jul 21 12:38:54 IST 2024","Sun Jul 21 12:38:54 IST 2024","3","","","","","","hook:",""
"passed","Sun Jul 21 12:39:27 IST 2024","Sun Jul 21 12:39:28 IST 2024","832","","Login to SauceLabs mobile application: Invalid username and password","","","","Then I should see the error message INVALID_USER",""
"passed","Sun Jul 21 12:39:16 IST 2024","Sun Jul 21 12:39:21 IST 2024","4703","","Login to SauceLabs mobile application: Invalid username and password","","","","When I enter the username INVALID_USER",""
"passed","Sun Jul 21 12:38:52 IST 2024","Sun Jul 21 12:38:53 IST 2024","1537","","Login to SauceLabs mobile application: Validate no username and no password","","","","When I click the login button",""
"failed","Sun Jul 21 12:39:08 IST 2024","Sun Jul 21 12:39:08 IST 2024","2","","","","","","hook:",""
"passed","Sun Jul 21 12:39:49 IST 2024","Sun Jul 21 12:39:51 IST 2024","1651","","Login to SauceLabs mobile application: Locked username and password","","","","Then I should see the error message LOCKED_USER",""
"passed","Sun Jul 21 12:38:35 IST 2024","Sun Jul 21 12:38:52 IST 2024","16230","","Login to SauceLabs mobile application: Validate no username and no password","","","","Given I launch the application and log out existing session",""
"passed","Sun Jul 21 12:39:39 IST 2024","Sun Jul 21 12:39:43 IST 2024","3899","","Login to SauceLabs mobile application: Locked username and password","","","","When I enter the username LOCKED_USER",""
"passed","Sun Jul 21 12:54:04 IST 2024","Sun Jul 21 12:54:06 IST 2024","2009","","Login to SauceLabs mobile application: Valid username and password","","","","Then I click the login button",""
"passed","Sun Jul 21 12:39:01 IST 2024","Sun Jul 21 12:39:05 IST 2024","3561","","Login to SauceLabs mobile application: Validate enter username but no password","","","","When I enter the username NO_PASSWORD",""
"passed","Sun Jul 21 12:53:38 IST 2024","Sun Jul 21 12:53:56 IST 2024","18151","","Login to SauceLabs mobile application: Valid username and password","","","","Given I launch the application and log out existing session",""
"passed","Sun Jul 21 12:38:54 IST 2024","Sun Jul 21 12:39:01 IST 2024","6982","","Login to SauceLabs mobile application: Validate enter username but no password","","","","Given I launch the application and log out existing session",""
"failed","Sun Jul 21 12:39:28 IST 2024","Sun Jul 21 12:39:28 IST 2024","4","","","","","","hook:",""
"failed","Sun Jul 21 12:39:51 IST 2024","Sun Jul 21 12:39:51 IST 2024","2","","","","","","hook:",""
"passed","Sun Jul 21 12:54:06 IST 2024","Sun Jul 21 12:54:09 IST 2024","3448","","Login to SauceLabs mobile application: Valid username and password","","","","Then I validate checkout screen visible",""
"passed","Sun Jul 21 12:39:05 IST 2024","Sun Jul 21 12:39:07 IST 2024","2115","","Login to SauceLabs mobile application: Validate enter username but no password","","","","Then I click the login button",""
"passed","Sun Jul 21 12:39:28 IST 2024","Sun Jul 21 12:39:39 IST 2024","10950","","Login to SauceLabs mobile application: Locked username and password","","","","Given I launch the application and log out existing session",""
"passed","Sun Jul 21 12:53:59 IST 2024","Sun Jul 21 12:54:04 IST 2024","4407","","Login to SauceLabs mobile application: Valid username and password","","","","Then I enter the password STANDARD_USER",""
"passed","Sun Jul 21 12:39:25 IST 2024","Sun Jul 21 12:39:27 IST 2024","2454","","Login to SauceLabs mobile application: Invalid username and password","","","","Then I click the login button",""
"passed","Sun Jul 21 12:39:08 IST 2024","Sun Jul 21 12:39:16 IST 2024","7804","","Login to SauceLabs mobile application: Invalid username and password","","","","Given I launch the application and log out existing session",""
"passed","Sun Jul 21 12:39:21 IST 2024","Sun Jul 21 12:39:25 IST 2024","4343","","Login to SauceLabs mobile application: Invalid username and password","","","","Then I enter the password INVALID_USER",""
"passed","Sun Jul 21 12:39:07 IST 2024","Sun Jul 21 12:39:08 IST 2024","1040","","Login to SauceLabs mobile application: Validate enter username but no password","","","","Then I should see the error message NO_PASSWORD",""
"passed","Sun Jul 21 12:39:43 IST 2024","Sun Jul 21 12:39:47 IST 2024","3980","","Login to SauceLabs mobile application: Locked username and password","","","","Then I enter the password LOCKED_USER",""
"passed","Sun Jul 21 12:53:56 IST 2024","Sun Jul 21 12:53:59 IST 2024","3220","","Login to SauceLabs mobile application: Valid username and password","","","","When I enter the username STANDARD_USER",""
"passed","Sun Jul 21 12:38:53 IST 2024","Sun Jul 21 12:38:54 IST 2024","1173","","Login to SauceLabs mobile application: Validate no username and no password","","","","Then I should see the error message NO_CREDENTIALS",""
